OBJECTID,NM_MUNICIP,CD_GEOCMU,NM_ESTADO,CHEIAS_201
1,NOVA BRASILÂNDIA D'OESTE,1100148,RONDÔNIA,1
2,PIMENTA BUENO,1100189,RONDÔNIA,1
3,NOVA MAMORÉ,1100338,RONDÔNIA,1
4,BURITIS,1100452,RONDÔNIA,1
5,ASSIS BRASIL,1200054,ACRE,1
6,BRASILÉIA,1200104,ACRE,2
7,CAPIXABA,1200179,ACRE,1
8,EPITACIOLÂNDIA,1200252,ACRE,1
9,RIO BRANCO,1200401,ACRE,2
10,SENA MADUREIRA,1200500,ACRE,1
11,XAPURI,1200708,ACRE,2
12,PORTO ACRE,1200807,ACRE,1
13,ALVARÃES,1300029,AMAZONAS,1
14,AMATURÁ,1300060,AMAZONAS,1
15,ANAMÃ,1300086,AMAZONAS,2
16,ANORI,1300102,AMAZONAS,1
17,ATALAIA DO NORTE,1300201,AMAZONAS,1
18,AUTAZES,1300300,AMAZONAS,1
19,BARREIRINHA,1300508,AMAZONAS,1
20,BENJAMIN CONSTANT,1300607,AMAZONAS,2
21,BERURI,1300631,AMAZONAS,1
22,BOA VISTA DO RAMOS,1300680,AMAZONAS,1
23,BOCA DO ACRE,1300706,AMAZONAS,2
24,BORBA,1300805,AMAZONAS,1
25,CAAPIRANGA,1300839,AMAZONAS,1
26,CANUTAMA,1300904,AMAZONAS,1
27,CARAUARI,1301001,AMAZONAS,1
28,CAREIRO,1301100,AMAZONAS,1
29,CAREIRO DA VÁRZEA,1301159,AMAZONAS,2
30,COARI,1301209,AMAZONAS,1
31,CODAJÁS,1301308,AMAZONAS,1
32,EIRUNEPÉ,1301407,AMAZONAS,1
33,ENVIRA,1301506,AMAZONAS,1
34,FONTE BOA,1301605,AMAZONAS,1
35,GUAJARÁ,1301654,AMAZONAS,1
36,IPIXUNA,1301803,AMAZONAS,1
37,IRANDUBA,1301852,AMAZONAS,1
38,ITAMARATI,1301951,AMAZONAS,1
39,JAPURÁ,1302108,AMAZONAS,1
40,JURUÁ,1302207,AMAZONAS,1
41,JUTAÍ,1302306,AMAZONAS,1
42,LÁBREA,1302405,AMAZONAS,1
43,MANACAPURU,1302504,AMAZONAS,1
44,MANAQUIRI,1302553,AMAZONAS,1
45,MANAUS,1302603,AMAZONAS,1
46,MARAÃ,1302801,AMAZONAS,1
47,MAUÉS,1302900,AMAZONAS,1
48,PARINTINS,1303403,AMAZONAS,1
49,PAUINI,1303502,AMAZONAS,1
50,SANTO ANTÔNIO DO IÇÁ,1303700,AMAZONAS,1
51,SÃO PAULO DE OLIVENÇA,1303908,AMAZONAS,1
52,TABATINGA,1304062,AMAZONAS,1
53,TAPAUÁ,1304104,AMAZONAS,1
